timestamp_ms,mmg1,mmg2,mmg3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
868176,1709,974,589,16808,-3112,-1944,-1280,235,-231
868186,1677,964,621,16852,-2956,-1748,-1248,-426,92
868196,1709,957,621,16732,-3000,-1596,-1280,-861,237
868206,1708,943,619,16420,-3084,-1628,-1296,-1141,136
868216,1708,947,621,16468,-3196,-1764,-1312,-1507,-141
868226,1707,951,619,16684,-3072,-1904,-1264,-2351,-20
868236,1677,951,619,16784,-2464,-2312,-1264,-3138,336
868246,1710,966,623,16700,-2588,-1452,-1280,-3816,531
868256,1707,953,619,16180,-2300,-1284,-1264,-1570,752
868266,1707,933,623,16368,-3792,-2268,-1296,-1216,129
868276,1707,935,619,16868,-3948,-2048,-1296,-591,1037
868286,1709,934,617,15816,-4108,-2780,-1296,-2591,1954
868296,1711,1032,617,16032,-2776,-1416,-1248,-2643,2002
868306,1708,999,621,15432,-3192,-1396,-1280,-2600,-220
868316,1704,967,597,15780,-3640,-1088,-1280,-943,-1577
868326,1708,903,615,16188,-3872,-1468,-1296,313,-2041
868336,1709,932,581,16468,-3540,-1836,-1296,616,-2028
868346,1707,953,619,16300,-3372,-2176,-1280,751,-1938
868356,1709,955,618,16416,-3440,-2072,-1248,946,-1792
868366,1709,981,667,16488,-3332,-2096,-1280,1276,-1722
868376,1708,983,619,16432,-3596,-2008,-1280,1489,-1802
868386,1709,983,618,16412,-3304,-2440,-1312,1441,-1592
868396,1707,957,617,16684,-3440,-2900,-1280,1273,-1138
868406,1709,971,619,16564,-3512,-1876,-1280,1384,-1242
868416,1708,953,619,16732,-3668,-1704,-1312,1330,-862
868426,1707,947,619,16524,-3596,-1964,-1280,1267,-866
868436,1708,949,619,16372,-3636,-1788,-1264,1377,-621
868446,1708,953,616,15788,-3132,-1748,-1280,1914,-528
868456,1710,927,615,16652,-3304,-2120,-1312,1248,-306
868466,1708,956,617,16420,-3168,-2248,-1296,791,299
868476,1707,982,618,15672,-3184,-1704,-1280,545,153
868486,1707,987,618,15448,-2904,-4716,-1264,-1052,-953
868496,1708,1000,620,16008,-3256,-3168,-1264,-1811,-2596
868506,1709,983,619,17956,-2564,-1556,-1280,-584,-2215
868516,1709,967,619,16800,-4552,-2008,-1296,-1115,-1148
868526,1716,1007,619,16572,-3652,-2088,-1264,666,-523
868536,1708,965,615,16692,-4320,-1728,-1248,1744,112
868546,1709,937,616,16216,-3880,-2540,-1296,1189,480
868556,1707,957,619,15928,-3952,-3156,-1280,-19,25
868566,1707,985,619,16204,-4104,-2972,-1280,-850,-832
868576,1710,933,605,16068,-4344,-2592,-1264,-598,-1019
868586,1709,949,617,16572,-4272,-2416,-1312,-124,-917
868596,1708,969,573,16572,-4220,-2572,-1280,130,-366
868606,1709,979,617,16512,-4280,-2764,-1280,158,134
868616,1709,1007,669,16424,-3988,-2492,-1280,206,291
868626,1704,987,617,16124,-3868,-2488,-1264,349,65
868636,1707,989,617,16164,-3668,-2676,-1280,397,-164
868646,1708,973,617,16364,-3488,-2660,-1280,212,-230
868656,1709,980,619,16436,-3444,-2544,-1296,89,-203
868666,1707,981,617,16356,-3256,-2592,-1280,20,22
868676,1709,987,617,16428,-3340,-2676,-1264,-243,118
