timestamp_ms,mmg1,mmg2,mmg3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
922679,1687,941,549,16784,-2024,-1924,-1296,-1990,-377
922689,1689,1033,529,17128,-2036,-2492,-1264,-1002,-428
922699,1688,996,534,17184,-1740,-1720,-1312,299,-135
922709,1678,988,529,17184,-1016,-1784,-1296,1692,550
922719,1689,953,531,16704,-276,-2712,-1312,2261,1065
922729,1687,955,517,16584,-28,-3084,-1312,1203,1220
922739,1689,994,535,16396,-172,-2892,-1312,-821,998
922749,1689,923,537,16116,-788,-2896,-1280,-2179,352
922759,1687,939,539,16244,-1328,-2752,-1312,-2454,-558
922769,1689,947,536,16668,-1764,-2356,-1312,-1978,-803
922779,1687,955,539,17008,-1724,-2156,-1280,-895,-296
922789,1689,952,539,17116,-1488,-2432,-1296,-64,526
922799,1689,967,536,16760,-1172,-2464,-1312,89,1237
922809,1688,965,523,16492,-780,-2616,-1280,7,1064
922819,1689,951,539,16308,-736,-2532,-1264,-177,742
922829,1689,927,533,16356,-556,-2620,-1296,-555,233
922839,1671,951,535,16508,-820,-2440,-1296,-603,-54
922849,1689,952,538,16652,-476,-2096,-1296,-367,162
922859,1687,937,538,16676,-356,-2368,-1280,-314,599
922869,1691,950,551,16436,-208,-2572,-1264,-359,852
922879,1689,949,535,16392,-340,-2520,-1296,-414,712
922889,1689,965,535,16324,-308,-2332,-1264,-553,575
922899,1690,969,527,16324,-28,-2228,-1296,-342,397
922909,1687,965,535,16540,396,-1780,-1312,284,435
922919,1687,932,530,16692,820,-2080,-1328,440,706
922929,1688,931,534,16580,1140,-2096,-1296,-207,1002
922939,1689,926,507,16224,964,-2304,-1280,-1059,1143
922949,1689,947,531,15984,756,-2284,-1328,-1701,653
922959,1689,975,535,16180,544,-1800,-1312,-1473,130
922969,1685,965,534,16532,468,-2092,-1296,-861,-222
922979,1690,979,533,17008,568,-2308,-1296,-441,-94
922989,1688,983,535,17084,728,-2212,-1280,-297,458
922999,1687,971,534,16980,712,-2416,-1312,-280,888
923009,1688,969,537,16604,712,-2264,-1280,-429,1023
923019,1688,943,533,16432,248,-2604,-1280,-751,733
923029,1689,937,535,16436,40,-2356,-1280,-1251,179
923039,1689,942,533,16580,-132,-1900,-1312,-1280,0
923049,1689,935,534,16660,-376,-1676,-1280,-891,190
923059,1689,931,533,16652,-528,-2088,-1280,-616,521
923069,1691,927,535,16556,-780,-2092,-1312,-636,669
923079,1689,1044,533,16420,-1132,-2332,-1280,-746,532
923089,1688,937,529,16432,-1292,-2500,-1280,-743,208
923099,1689,935,529,16700,-1196,-2320,-1280,-487,28
923109,1689,949,531,16864,-1048,-2360,-1264,-199,208
923119,1689,955,533,16860,-868,-2664,-1280,-85,479
923129,1688,970,534,16936,-652,-2564,-1312,-65,680
923139,1691,967,538,16768,-692,-2480,-1328,77,756
923149,1689,972,535,16764,-540,-2540,-1312,117,665
923159,1689,975,531,16820,-196,-2476,-1296,-1,561
923169,1693,982,537,16908,76,-2496,-1280,-235,643
923179,1690,983,539,16812,196,-2412,-1280,-500,789
923189,1688,995,533,16732,-20,-2492,-1296,-730,827
923199,1689,980,536,16768,-12,-2276,-1296,-742,751
923209,1689,983,536,16728,-392,-1888,-1296,-555,201
923219,1689,983,532,16744,-372,-1888,-1296,-243,264
923229,1695,977,531,17000,-80,-2004,-1296,110,406
923239,1688,965,532,16960,72,-1948,-1296,206,446
923249,1689,970,522,16720,-40,-2168,-1296,27,465
923259,1689,981,533,16656,-172,-2196,-1312,-284,401
923269,1689,959,531,16460,-324,-2096,-1296,-459,191
923279,1671,949,553,16540,-548,-2152,-1296,-482,39
923289,1689,942,533,16588,-888,-2240,-1328,-496,-43
923299,1690,941,533,16720,-1068,-2144,-1296,-424,81
923309,1691,935,532,16736,-1020,-1908,-1312,-179,215
923319,1689,938,535,16696,-1012,-2256,-1296,44,275
923329,1689,951,533,16652,-972,-2204,-1296,225,229
923339,1689,958,532,16696,-856,-2452,-1280,174,219
923349,1688,943,535,16736,-856,-2460,-1296,-106,217
923359,1689,965,533,16836,-916,-2356,-1312,-318,146
923369,1689,969,535,16772,-860,-2232,-1328,-268,156
923379,1688,958,537,16804,-916,-2232,-1296,-154,222
923389,1689,957,535,16756,-876,-2248,-1312,8,379
923399,1688,947,533,16660,-672,-2076,-1312,155,411
923409,1689,942,519,16564,-696,-2576,-1312,22,259
923419,1692,971,533,16656,-684,-2116,-1312,-56,17
923429,1689,973,531,16896,-348,-1980,-1280,88,-27
923439,1687,967,531,16984,-172,-2108,-1312,411,92
923449,1688,969,533,16868,116,-2252,-1312,572,314
923459,1689,982,535,16856,204,-2324,-1296,363,516
923469,1689,983,533,16664,92,-2352,-1312,-84,462
923479,1689,969,531,16460,8,-2296,-1312,-482,277
923489,1689,977,531,16600,-84,-2212,-1296,-584,21
923499,1688,985,532,16724,-196,-1956,-1312,-375,-75
923509,1688,974,531,16832,-332,-2000,-1296,-377,143
923519,1689,955,533,16832,-256,-2124,-1280,-344,307
923529,1688,949,529,16692,-324,-2200,-1280,-276,228
923539,1688,953,529,16816,-448,-1904,-1264,-300,29
923549,1687,1015,531,16596,-516,-1972,-1280,-298,-80
923559,1709,967,529,16680,-332,-2408,-1328,-131,-143
923569,1687,967,498,16716,-192,-2300,-1312,-9,-190
923579,1689,957,535,16900,-408,-2248,-1280,-134,-107
923589,1688,965,533,16844,-316,-2376,-1296,-426,122
923599,1691,956,533,16756,-412,-2640,-1296,-466,344
923609,1688,958,533,16740,-464,-2536,-1296,-400,218
923619,1689,953,531,16628,-732,-2308,-1296,-563,157
923629,1689,949,532,16720,-868,-2412,-1280,-794,174
923639,1689,942,532,16660,-1064,-2112,-1264,-802,69
923649,1689,953,509,16624,-1284,-2172,-1296,-595,-51
923659,1689,949,531,16764,-1304,-1856,-1312,-164,-36
923669,1689,933,531,16676,-1100,-1860,-1296,235,156
923679,1689,927,535,16836,-896,-2200,-1296,562,225
923689,1688,938,527,16672,-716,-2320,-1296,567,170
923699,1687,940,531,16676,-572,-2380,-1264,385,106
923709,1691,942,530,16556,-580,-2492,-1312,162,-27
923719,1689,947,533,16736,-580,-2236,-1264,25,-49
923729,1687,956,531,16692,-620,-2084,-1328,235,85
923739,1689,1108,529,16648,-500,-2320,-1280,460,247
923749,1693,971,531,16732,-476,-2740,-1296,540,236
923759,1689,953,531,16688,-320,-2320,-1280,293,233
923769,1687,951,533,16712,-244,-2360,-1296,163,200
923779,1689,951,534,16608,-304,-2540,-1296,-36,83
923789,1687,953,534,16708,-272,-2184,-1280,-180,66
923799,1689,935,532,16644,-276,-2032,-1312,-66,133
923809,1716,943,535,16768,-408,-2152,-1280,213,134
923819,1689,949,531,16632,-368,-2308,-1296,403,205
923829,1689,955,526,16668,-276,-2288,-1296,370,308
923839,1688,949,531,16640,-408,-2384,-1280,239,281
923849,1689,956,531,16644,-496,-2436,-1248,121,92
923859,1687,941,530,16608,-564,-2252,-1280,234,24
923869,1689,933,523,16652,-564,-1952,-1248,389,97
923879,1689,940,531,16684,-488,-2288,-1296,619,150
923889,1695,955,533,16740,-532,-2256,-1280,763,185
923899,1688,957,532,16672,-368,-2288,-1312,801,260
923909,1688,950,532,16608,-260,-2360,-1296,756,257
923919,1688,967,530,16560,-72,-2368,-1280,709,199
923929,1692,960,531,16616,60,-2480,-1312,637,128
923939,1689,954,532,16816,-16,-2452,-1248,529,93
923949,1659,953,527,16748,80,-2264,-1280,467,168
923959,1689,937,530,16884,72,-2164,-1296,397,208
923969,1687,972,525,16760,88,-2192,-1280,322,244
923979,1679,979,526,16760,232,-2224,-1280,349,221
923989,1688,965,531,16752,352,-2368,-1328,351,252
923999,1689,952,532,16700,384,-2468,-1280,245,383
924009,1689,959,529,16712,344,-2432,-1280,140,205
924019,1689,959,529,16684,236,-2200,-1280,16,190
924029,1688,1005,530,16604,240,-2340,-1280,-28,202
924039,1688,969,529,16716,168,-2392,-1296,-198,219
924049,1689,959,525,16788,-36,-2236,-1312,-357,255
924059,1689,967,529,16664,-320,-2364,-1312,-400,190
924069,1689,955,533,16716,-412,-2216,-1296,-259,109
924079,1694,956,531,16788,-504,-2200,-1280,-68,88
924089,1689,965,530,16772,-420,-2304,-1296,19,188
924099,1688,955,532,16728,-408,-2332,-1312,-7,346
924109,1689,955,531,16856,-476,-2368,-1312,-175,357
924119,1691,942,529,16712,-604,-2344,-1296,-295,247
924129,1689,943,529,16628,-656,-2380,-1264,-405,77
924139,1689,1003,529,16820,-756,-2212,-1296,-340,19
924149,1689,951,529,16868,-880,-2348,-1280,-248,197
924159,1687,941,527,16696,-792,-2424,-1280,-131,353
924169,1687,947,532,16736,-812,-2324,-1296,-168,401
924179,1687,947,529,16544,-736,-2360,-1296,-315,311
924189,1689,949,531,16624,-808,-2400,-1280,-407,164
924199,1689,944,531,16568,-956,-2524,-1296,-405,96
924209,1689,948,531,16688,-944,-2228,-1280,-436,98
924219,1688,948,494,16748,-988,-2112,-1328,-395,228
924229,1689,948,529,16652,-1096,-2112,-1328,-293,300
924239,1688,943,529,16612,-1092,-2180,-1312,-202,257
924249,1688,940,536,16520,-1068,-2124,-1296,-122,152
924259,1689,941,529,16724,-1016,-2104,-1296,-73,81
924269,1688,941,529,16632,-1052,-2156,-1312,-2,58
924279,1691,942,526,16664,-1036,-2464,-1296,41,86
924289,1687,949,531,16720,-808,-2292,-1312,79,119
924299,1690,959,525,16704,-812,-2236,-1296,124,111
924309,1689,956,525,16736,-688,-2400,-1264,118,81
924319,1688,935,525,16720,-572,-2388,-1248,84,122
924329,1690,952,529,16740,-624,-2348,-1312,75,189
924339,1689,947,529,16604,-496,-2460,-1312,19,171
924349,1687,949,527,16672,-560,-2412,-1280,-120,100
924359,1688,952,527,16732,-448,-2272,-1264,-176,67
924369,1708,957,529,16700,-564,-2264,-1280,-133,84
924379,1689,953,529,16788,-400,-2380,-1280,-15,168
924389,1687,951,526,16768,-432,-2380,-1296,7,221
924399,1687,944,527,16692,-420,-2456,-1312,-85,233
924409,1687,953,529,16760,-352,-2292,-1280,-191,269
924419,1688,944,525,16724,-536,-2532,-1312,-297,63
924429,1688,953,529,16584,-556,-2096,-1280,-275,-6
924439,1688,955,529,16748,-572,-2096,-1264,-155,54
924449,1715,945,500,16784,-572,-2304,-1280,-24,108
924459,1688,955,529,16716,-532,-2252,-1312,14,136
924469,1689,949,531,16720,-432,-2124,-1280,24,96
924479,1688,948,525,16712,-384,-2304,-1280,28,72
924489,1689,952,527,16720,-400,-2244,-1264,-69,37
924499,1688,953,531,16660,-456,-2468,-1312,-180,0
924509,1689,820,529,16672,-408,-2476,-1280,-215,62
924519,1689,943,521,16780,-532,-2376,-1296,-111,89
924529,1688,955,525,16672,-388,-2292,-1296,-15,125
924539,1689,967,533,16796,-388,-2432,-1296,-69,204
