timestamp_ms,mmg1,mmg2,mmg3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
975375,1672,1003,462,15944,-4816,-936,-1344,693,-951
975385,1671,937,463,16116,-4864,-1544,-1376,728,-1529
975395,1671,936,461,16608,-4568,-1368,-1328,425,-1355
975405,1671,933,461,16480,-4656,-1800,-1328,290,-829
975415,1672,922,463,16432,-4356,-1872,-1360,-239,-646
975425,1671,910,461,16400,-4444,-1616,-1344,-646,-492
975435,1672,926,469,16212,-4572,-1532,-1328,-971,-226
975445,1671,925,467,16156,-4508,-1604,-1344,-1358,-340
975455,1671,943,463,16168,-4140,-1476,-1328,-1579,-552
975465,1671,933,463,16172,-4148,-1700,-1360,-1642,-494
975475,1670,955,465,16064,-4120,-1824,-1344,-1635,-308
975485,1673,926,462,16352,-4336,-1948,-1344,-2183,-543
975495,1669,926,459,16068,-3824,-1712,-1344,-2328,-221
975505,1671,917,463,16464,-4192,-2156,-1344,-2508,-656
975515,1670,923,466,16380,-4372,-1884,-1344,-2836,-553
975525,1663,932,462,16264,-4436,-1980,-1344,-3098,-324
975535,1672,911,461,16340,-4432,-1604,-1312,-3058,96
975545,1669,915,465,16204,-4392,-1368,-1328,-2673,742
975555,1670,903,461,16288,-4160,-1576,-1344,-2457,1013
975565,1673,917,481,15700,-3740,-1444,-1360,-2590,592
975575,1671,917,459,15920,-4100,-1508,-1328,-2811,-192
975585,1670,917,460,15616,-5604,-2340,-1344,-1057,-426
975595,1670,1031,461,16220,-3772,-1084,-1360,-641,-887
975605,1673,971,458,16020,-4740,-2044,-1360,-693,-651
975615,1675,931,458,16172,-4408,-2084,-1328,-1065,-390
975625,1669,917,462,16520,-4328,-2068,-1328,-1018,-245
975635,1671,919,460,16448,-4324,-1704,-1344,-121,176
975645,1671,917,459,15356,-5112,-1896,-1344,1757,-17
975655,1671,916,425,16348,-4912,-1916,-1312,1278,5
975665,1653,915,461,16412,-4564,-2632,-1344,88,855
975675,1671,971,461,16080,-3812,-3972,-1344,198,224
975685,1671,942,462,15144,-3624,-4152,-1312,-1409,-1398
975695,1673,995,459,15572,-3644,-2112,-1344,-4397,-3142
975705,1672,966,461,15732,-4544,-2544,-1344,-5575,-3883
975715,1671,947,461,16192,-4828,-2380,-1344,-4923,-3485
975725,1671,939,459,16836,-5224,-1944,-1344,-3475,-2209
975735,1673,913,461,17308,-5504,-1168,-1312,-1591,-267
975745,1671,884,459,16880,-5224,-1304,-1344,199,1364
975755,1672,889,458,16076,-4692,-2232,-1328,1405,1771
975765,1669,917,459,15692,-4248,-2732,-1312,1387,1219
975775,1672,928,460,15764,-3944,-2812,-1328,347,312
975785,1671,933,457,15904,-4012,-2900,-1328,-868,-368
975795,1670,949,460,16244,-4104,-2552,-1344,-1471,-445
975805,1671,943,461,16420,-4268,-2040,-1360,-1282,-53
975815,1622,935,455,16380,-4520,-2376,-1328,-841,474
975825,1674,936,460,16148,-4724,-2504,-1344,-672,644
975835,1670,938,459,16144,-4480,-2412,-1360,-486,551
975845,1672,943,460,16008,-4464,-2452,-1344,-389,410
975855,1673,973,461,16132,-4332,-2380,-1328,-329,423
975865,1671,1029,457,16176,-4064,-2296,-1328,-414,521
975875,1672,981,460,16104,-4256,-2096,-1344,-498,755
975885,1671,966,466,16180,-4784,-2308,-1344,-903,605
975895,1671,924,462,16120,-5212,-1600,-1312,-928,258
975905,1672,915,459,16052,-5124,-2368,-1344,-299,-10
975915,1671,933,473,16208,-4816,-2380,-1328,332,-199
975925,1672,942,461,16304,-4560,-2072,-1344,810,80
975935,1671,953,461,16440,-4364,-2324,-1344,758,592
975945,1650,959,462,16200,-4256,-2728,-1344,159,688
975955,1671,958,461,16044,-4056,-2488,-1312,-379,475
975965,1669,949,457,16112,-4068,-2356,-1344,-258,140
975975,1671,953,467,16240,-4068,-2552,-1344,-291,55
975985,1671,973,460,16208,-3960,-2216,-1312,-328,104
975995,1669,959,467,16344,-4016,-2368,-1328,-271,539
976005,1671,932,465,16176,-4264,-2060,-1344,-375,383
976015,1671,917,462,16184,-4384,-1836,-1328,-470,96
976025,1671,916,459,16112,-4120,-2384,-1344,-360,-145
976035,1669,915,459,16168,-3808,-2272,-1344,105,-190
976045,1670,921,473,16260,-3752,-2352,-1328,308,-49
976055,1672,928,459,16400,-3564,-2520,-1328,162,212
976065,1669,928,461,16272,-3156,-2504,-1360,-83,322
976075,1671,935,460,16208,-2944,-2412,-1328,-261,402
976085,1663,921,461,16060,-3252,-2336,-1312,-534,165
976095,1670,921,463,16148,-3624,-2216,-1360,-974,-141
976105,1671,907,458,16240,-3840,-2232,-1360,-979,-377
976115,1672,917,459,16372,-3824,-2168,-1312,-293,-483
976125,1671,938,493,16268,-3436,-2216,-1328,524,-300
976135,1671,952,459,16512,-3212,-2220,-1360,816,55
976145,1671,951,459,16552,-3028,-2380,-1328,517,156
976155,1671,910,460,16236,-2664,-2728,-1360,24,102
976165,1672,917,460,16216,-2932,-2960,-1376,-556,-83
976175,1669,936,458,16256,-3048,-2552,-1312,-894,-253
976185,1671,931,461,16256,-3248,-2564,-1344,-716,-421
976195,1663,937,457,16200,-3308,-2808,-1344,-377,-282
976205,1672,933,460,16424,-3464,-2592,-1328,-226,142
976215,1671,919,459,16584,-3124,-2688,-1344,-35,126
976225,1671,937,461,16492,-2972,-2840,-1344,71,116
976235,1670,934,459,16512,-3252,-3004,-1344,-154,174
