timestamp_ms,mmg1,mmg2,mmg3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
186597,2032,1077,1193,16904,-1488,1100,-816,1265,721
186607,2031,1106,1193,17012,-836,936,-816,-61,1070
186617,2035,1056,1191,16672,-2812,476,-784,-1095,1646
186627,1997,1033,1193,17112,-464,1340,-800,-2195,2228
186637,2036,1075,1193,16296,-464,1336,-800,-2864,2835
186647,2037,1056,1184,15844,344,504,-800,-3329,1606
186657,2035,1048,1192,16208,-1384,312,-800,-3921,-182
186667,2035,1020,1186,15920,-2524,1600,-816,-4405,-1171
186677,2035,1019,1188,17032,-2148,2372,-832,-3152,-557
186687,2036,1069,1179,15996,-1108,2056,-832,-1989,-57
186697,2035,1107,1190,17148,-744,-112,-784,-1905,-954
186707,2031,1110,1192,16524,-1616,336,-816,-2459,-1765
186717,2035,1109,1187,16536,-1964,1592,-800,-2957,-2256
186727,2035,1063,1203,16448,-2100,1684,-832,-3199,-2524
186737,2030,1069,1183,17332,-1692,1256,-816,-2913,-2518
186747,2035,1005,1191,16756,-2244,208,-800,-3084,-2310
186757,2039,1019,1194,16872,-640,2356,-832,-1711,-1816
186767,2032,1079,1193,17348,-788,1444,-832,-317,-795
186777,2042,1047,1189,16140,-2252,552,-832,-150,-570
186787,2035,1076,1190,16420,-1616,516,-816,-1198,-716
186797,2035,1079,1183,16672,-872,600,-816,-2383,-813
186807,2031,1048,1192,16320,-1316,552,-800,-1910,-1301
186817,2036,1039,1189,16744,-1832,972,-784,-1343,-1513
186827,2035,1012,1183,16900,-1668,572,-816,-1853,-1137
186837,2037,1011,1183,16592,-1208,-172,-832,-1993,-960
186847,2039,974,1187,16696,-1412,-472,-832,-1734,-1062
186857,2029,1015,1186,16768,-576,88,-816,-1976,-1026
186867,2029,1059,1181,17056,-508,244,-800,-2072,-687
186877,2032,1107,1187,16848,-440,688,-832,-2047,-250
186887,2039,1095,1193,17108,-824,756,-800,-2446,-24
186897,2037,1113,1197,17116,-1532,1284,-816,-2856,51
186907,2032,1118,1190,16732,-2256,1760,-816,-2938,-78
186917,2037,1063,1192,16488,-2756,1344,-848,-1915,-721
186927,2035,1051,1189,16360,-2328,984,-800,-416,-1410
186937,2035,1005,1188,16588,-1860,728,-816,652,-1758
186947,2031,1017,1187,16948,-856,116,-816,974,-1350
