Time,MMG1,MMG2,MMG3,MMG4,EMG,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,828,799,976,765,1129,3644,-16288,1144,-1079,-25,-271
4,822,801,975,767,1081,3748,-16392,1136,-1055,-37,-266
7,813,785,963,749,1008,3676,-16332,1188,-1051,-14,-248
10,815,787,970,745,962,3700,-16352,1080,-1006,-46,-226
13,811,785,960,746,923,3716,-16404,1080,-1001,-26,-210
16,816,785,963,748,881,3716,-16372,1160,-986,-32,-210
19,813,794,959,745,848,3776,-16336,1088,-955,-34,-220
22,815,784,965,748,815,3788,-16348,1164,-917,-18,-191
25,813,784,964,749,775,3776,-16324,1092,-900,-14,-170
28,813,785,967,748,741,3784,-16384,1160,-911,-14,-167
31,816,783,960,750,710,3868,-16440,1012,-886,-37,-150
34,812,781,965,749,686,3752,-16292,1088,-885,-52,-156
37,810,781,960,750,651,3876,-16276,1168,-878,-28,-132
40,814,783,971,750,625,3856,-16364,1260,-866,10,-119
43,814,784,961,753,595,3784,-16308,1224,-872,8,-116
46,816,785,976,752,576,3820,-16296,1240,-860,-1,-82
49,816,784,961,752,558,3848,-16424,1068,-858,-35,-76
52,814,782,964,753,530,3760,-16312,1120,-843,-36,-90
55,814,781,960,753,503,3912,-16264,1156,-872,-51,-58
58,813,784,961,752,487,3792,-16320,1164,-838,-59,-50
61,810,778,960,754,466,3856,-16444,1132,-848,-81,-50
64,813,779,967,759,448,3812,-16368,1140,-834,-79,-38
67,811,774,960,753,432,3832,-16344,1284,-850,-85,-46
70,814,773,960,757,416,3776,-16360,1296,-835,-103,-24
73,815,770,960,765,400,3880,-16256,980,-841,-78,-21
76,815,770,964,755,381,3740,-16348,1116,-838,-79,-10
79,797,770,962,757,372,3804,-16284,1120,-805,-69,-35
82,815,771,963,755,356,3640,-16240,1168,-818,-80,-29
85,816,773,966,755,347,3620,-16324,1188,-821,-98,-2
88,816,771,966,760,331,3676,-16300,1076,-820,-102,-22
91,816,768,961,757,318,3680,-16296,1172,-796,-97,-45
94,816,771,967,759,309,3616,-16360,1268,-798,-96,-7
97,811,772,961,754,299,3656,-16252,1212,-803,-116,-17
100,815,774,970,753,286,3668,-16272,1108,-782,-135,-17
103,813,775,964,753,282,3612,-16212,1204,-796,-154,-24
106,816,775,965,752,268,3532,-16400,1100,-781,-181,-4
109,816,782,963,756,258,3580,-16360,1248,-789,-175,-20
112,816,782,969,761,243,3576,-16284,1172,-778,-169,-24
115,816,773,965,752,243,3580,-16232,1304,-795,-181,-24
118,816,784,967,753,240,3500,-16352,1160,-829,-252,-20
121,815,784,967,749,230,3588,-16236,1232,-824,-249,-51
124,814,783,960,752,223,3564,-16352,1184,-813,-207,-20
127,816,785,971,751,213,3600,-16260,1128,-841,-204,-30
130,816,784,961,752,213,3672,-16356,1148,-830,-121,-30
133,816,773,970,751,208,3476,-16468,1276,-774,-142,-23
136,838,777,970,752,198,3376,-16452,1080,-823,-260,-9
139,816,783,977,752,192,3428,-16324,1092,-871,-261,-25
142,816,781,971,752,192,3480,-16244,1236,-841,-392,20
145,816,780,961,751,188,3552,-16416,1220,-738,-211,-3
148,818,780,969,752,185,3660,-16388,1308,-746,-94,4
151,816,781,968,752,177,3644,-16400,1192,-792,-185,-17
154,815,784,962,752,176,3592,-16472,1132,-759,-123,-8
157,811,783,965,755,170,3632,-16480,1160,-738,-170,16
160,816,779,964,753,167,3708,-16436,1064,-746,-155,-1
163,815,780,964,753,161,3672,-16352,1336,-743,-91,-27
166,815,784,965,752,160,3548,-16448,1196,-737,-168,-30
169,816,780,966,752,157,3428,-16152,1252,-753,-228,-2
172,816,782,971,752,151,3468,-16304,1272,-738,-339,-15
175,814,775,967,752,150,3592,-16432,1252,-694,-233,21
178,815,774,966,752,145,3640,-16364,1316,-704,-165,24
181,811,773,966,754,145,3516,-16456,1100,-697,-144,10
184,811,775,967,753,143,3496,-16324,1304,-737,-170,15
187,809,772,969,757,139,3520,-16356,1228,-728,-206,39
190,815,779,965,753,141,3468,-16288,1204,-742,-212,-9
193,816,775,965,762,133,3544,-16312,1260,-770,-246,3
196,807,776,966,753,136,3568,-16368,1136,-768,-221,5
199,816,775,962,757,130,3676,-16280,1336,-772,-176,-14
202,815,774,967,759,128,3548,-16284,1180,-771,-167,-20
205,816,778,966,752,126,3456,-16312,1212,-797,-218,-17
208,816,779,976,751,123,3384,-16372,1148,-785,-275,-53
211,816,779,962,751,126,3556,-16324,1132,-776,-269,-49
214,816,783,967,752,123,3600,-16420,1176,-791,-263,-35
217,814,784,967,752,119,3588,-16376,1072,-831,-307,-63
220,816,780,975,751,116,3544,-16392,1188,-810,-345,-2
223,819,765,965,753,117,3532,-16368,1128,-845,-363,-75
226,817,782,970,754,117,3576,-16316,1140,-877,-379,-64
229,816,782,969,752,118,3508,-16292,1160,-873,-413,-50
232,816,781,970,752,112,3556,-16300,1340,-896,-421,-78
235,816,775,967,763,114,3524,-16372,1200,-903,-409,-50
238,816,775,965,752,112,3576,-16508,1196,-892,-433,-72
241,817,774,966,752,112,3612,-16472,1240,-906,-402,-60
244,816,774,962,754,111,3580,-16316,1404,-919,-414,-36
247,808,777,968,754,111,3708,-16212,1264,-912,-375,-72
250,818,778,976,753,111,3684,-16336,1228,-927,-335,-33
253,822,782,966,755,109,3576,-16296,1352,-934,-338,-37
256,817,784,967,753,112,3456,-16280,1260,-856,-305,-64
259,816,784,970,752,112,3548,-16332,1356,-829,-258,-24
262,816,781,967,753,107,3716,-16380,1208,-875,-306,-32
265,811,781,971,755,107,3476,-16316,1300,-916,-345,-69
268,812,784,967,754,103,3568,-16348,1256,-850,-317,-60
271,816,784,962,752,103,3628,-16436,1220,-862,-283,-32
274,816,784,971,762,104,3480,-16336,1312,-861,-306,-37
277,817,781,966,749,103,3468,-16384,1444,-853,-302,-43
280,816,784,967,759,102,3488,-16436,1396,-844,-341,-20
283,818,784,966,752,103,3468,-16320,1316,-846,-324,-40
286,816,803,969,754,102,3512,-16424,1208,-858,-339,-48
289,819,784,969,753,100,3620,-16348,1300,-860,-331,-11
292,816,785,970,754,99,3632,-16308,1312,-874,-338,-25
295,819,784,970,752,96,3632,-16340,1284,-892,-352,-19
298,816,784,965,752,100,3608,-16488,1268,-829,-314,-9
301,816,782,967,752,102,3688,-16248,1128,-896,-319,-43
304,817,784,967,754,98,3680,-16456,1224,-913,-313,-53
307,816,784,965,755,95,3348,-16536,1292,-816,-144,-34
310,819,781,964,752,98,3656,-16376,1168,-921,-45,-73
313,818,782,971,755,98,3560,-16432,1024,-968,-275,-118
316,816,781,963,762,91,3472,-16448,1276,-914,-365,-94
319,830,782,966,752,94,3724,-16208,1452,-981,-307,-99
322,816,782,970,755,93,3580,-16316,1268,-956,-367,-54
325,816,782,993,752,91,3700,-16280,1340,-949,-368,-55
328,830,784,967,758,92,3712,-16400,1328,-915,-349,-52
331,814,780,965,753,91,3868,-16256,1388,-880,-243,13
334,817,783,970,754,91,3828,-16252,1328,-872,-160,-5
337,817,779,967,762,98,3816,-16224,1244,-853,-183,-23
340,817,781,962,757,89,3888,-16396,1204,-829,-10,-31
343,816,783,969,757,97,3900,-16244,1480,-785,86,-2
346,815,778,965,752,90,3892,-16132,1412,-818,42,-3
349,816,780,970,753,90,3752,-16192,1312,-802,0,-15
352,816,779,967,753,85,3652,-16428,1260,-764,35,-18
355,815,779,963,752,90,3824,-16432,1428,-786,13,-36
358,816,768,962,753,94,3872,-16168,1436,-844,19,-88
361,816,779,967,755,96,3704,-16196,1268,-749,-113,5
364,817,784,970,752,89,3568,-16036,1468,-892,-141,-71
367,816,784,963,752,89,3540,-16312,1496,-915,-227,-111
370,816,782,969,752,93,3692,-16304,1464,-920,-61,-119
373,811,784,965,752,93,3760,-16380,1512,-935,-17,-119
376,814,784,962,757,89,3440,-16488,1208,-949,-61,-93
379,813,782,965,750,91,3440,-16536,1268,-952,-148,-82
382,819,783,970,746,93,3496,-16488,1256,-1022,-190,-151
385,814,782,971,773,90,3560,-16480,1348,-968,-126,-147
388,816,784,972,752,85,3532,-16428,1180,-932,-240,-77
391,812,781,965,752,90,3488,-16376,1380,-1029,-260,-145
394,815,782,961,765,93,3656,-16696,1292,-959,-400,-65
397,814,784,969,757,91,3692,-16808,1096,-917,-373,-45
400,811,778,963,754,90,3944,-16544,1060,-862,-169,65
403,812,779,964,756,91,4140,-16568,1272,-945,177,24
406,816,782,961,758,85,3904,-16556,1076,-933,59,10
409,810,780,966,763,91,3848,-16456,1176,-871,249,14
412,810,778,970,759,91,3932,-16424,1252,-878,236,-3
415,816,774,970,762,90,3908,-16344,1112,-905,293,3
418,816,771,963,759,87,3980,-16388,1504,-766,793,19
421,816,774,962,759,90,3644,-16024,1504,-949,417,-73
424,814,775,965,757,89,3344,-16008,1208,-1016,19,-117
427,806,777,963,752,90,3464,-15796,2004,-1069,371,-141
430,802,780,967,767,87,3392,-16044,1640,-1032,125,-17
433,808,775,963,744,88,3520,-16136,1640,-1009,-157,57
436,811,779,966,753,89,3636,-16376,1300,-971,164,67
439,811,780,964,752,90,4188,-16320,1464,-1019,719,28
442,809,775,967,754,92,3968,-16148,1276,-995,837,39
445,811,774,967,751,89,3648,-16240,1284,-1054,702,-42
448,806,781,962,752,90,3436,-16140,1240,-1168,335,-172
451,815,782,966,749,85,3204,-16180,1344,-1077,-60,-175
454,813,783,966,749,91,3776,-16232,1184,-984,-107,-4
457,814,783,967,748,85,3852,-16336,752,-959,31,53
460,810,783,969,750,89,3596,-16388,1168,-964,-186,18
463,802,782,967,752,83,3496,-16612,992,-957,-444,-11
466,811,783,966,751,85,3672,-16504,892,-990,-482,-11
469,807,781,967,756,89,3908,-16532,904,-959,-371,12
472,810,784,965,756,92,3904,-16468,1108,-938,-125,-9
475,813,784,967,757,86,3784,-16392,1184,-953,-2,-14
478,812,784,963,757,85,3848,-16556,1240,-894,274,-9
481,810,784,963,759,90,4004,-16576,1224,-864,589,-18
484,813,783,971,755,85,3800,-16540,1148,-851,885,-50
487,811,784,964,753,87,3760,-16700,1504,-804,1021,-24
490,814,785,963,755,86,3820,-16620,1220,-854,1067,-68
493,811,783,963,755,88,3684,-16624,1452,-796,1024,-80
496,807,784,960,759,88,3596,-16576,1356,-798,993,-94
499,811,779,963,752,87,3556,-16572,1484,-793,890,-61
502,806,783,960,759,85,3568,-16416,1360,-803,823,-90
505,809,784,967,757,90,3456,-16464,1576,-833,666,-84
508,809,782,958,755,91,3440,-16512,1416,-818,463,-76
511,803,775,960,754,87,3536,-16368,1236,-824,344,-85
514,809,779,960,758,83,3380,-16376,1380,-831,251,-89
517,809,779,969,758,91,3532,-16352,1352,-880,204,-107
520,805,784,965,758,90,3604,-16148,1248,-877,228,-116
523,808,777,965,752,85,3576,-16248,1244,-863,274,-91
526,805,777,962,754,87,3576,-16216,1436,-833,374,-74
529,814,779,962,757,92,3568,-16208,1176,-855,467,-47
532,806,777,960,755,88,3624,-16204,1260,-811,592,-36
535,805,772,970,754,90,3696,-16096,1364,-797,646,-10
538,805,778,960,761,90,3532,-16164,1200,-797,710,11
541,803,770,960,757,89,3548,-16048,1436,-813,751,3
544,798,768,961,756,87,3540,-16152,1344,-792,756,6
547,816,771,956,759,93,3456,-16156,1252,-805,730,17
550,807,769,960,758,87,3472,-16072,1400,-843,663,24
553,815,771,959,758,90,3436,-16268,1360,-876,610,28
556,814,770,962,760,92,3512,-16236,1376,-894,561,2
559,810,767,961,759,90,3420,-16168,1244,-921,499,-32
562,811,770,961,752,87,3448,-16268,1324,-961,393,-44
565,816,773,959,752,85,3476,-16264,1288,-985,311,-65
568,814,770,967,753,92,3368,-16252,1240,-1020,214,-69
571,806,772,966,754,86,3360,-16168,1244,-1052,122,-87
574,816,769,973,752,91,3272,-16184,1284,-1074,103,-102
577,814,769,966,751,91,3308,-16212,1248,-1039,25,-128
580,815,771,962,750,91,3248,-16264,1416,-1058,9,-147
583,825,774,964,754,87,3460,-16332,1092,-1031,-14,-109
586,814,781,964,753,94,3328,-16212,1092,-1106,24,-157
589,816,784,959,751,87,3464,-16260,1344,-1002,216,-105
592,815,785,960,752,95,3420,-16256,1332,-1088,174,-150
595,815,785,962,752,87,3356,-16272,1088,-1023,143,-119
598,818,788,965,751,92,3304,-16252,1224,-1047,191,-133
601,815,785,962,749,91,3348,-16236,1360,-1089,239,-139
604,817,788,965,751,92,3328,-16288,1256,-1080,221,-142
607,816,788,968,750,87,3232,-16120,1224,-1105,217,-137
610,816,786,968,753,90,3244,-16232,1344,-1119,196,-130
613,816,786,969,749,90,3308,-16288,1356,-1122,216,-170
616,815,784,966,754,90,3308,-16232,1352,-1155,192,-163
619,814,784,968,752,85,3428,-16272,1144,-1169,162,-158
622,816,785,970,750,85,3412,-16220,1252,-1177,141,-141
625,817,784,965,753,88,3400,-16236,1356,-1205,102,-164
628,815,784,964,752,93,3392,-16356,1204,-1185,49,-151
631,819,785,961,752,87,3324,-16256,1216,-1219,-2,-200
634,816,791,967,752,91,3436,-16244,1160,-1220,-51,-173
637,812,785,967,754,86,3420,-16268,1120,-1218,-87,-203
640,816,784,969,750,89,3488,-16256,1196,-1228,-66,-218
643,816,784,963,753,95,3516,-16224,1344,-1222,-50,-213
646,811,781,956,750,87,3476,-16256,1144,-1204,-66,-198
649,816,782,967,753,91,3480,-16292,1156,-1192,-113,-219
652,815,783,957,754,84,3592,-16300,1168,-1192,-60,-233
655,813,778,972,752,93,3516,-16276,1176,-1143,-51,-227
658,817,779,969,753,90,3464,-16220,1092,-1143,-19,-237
661,817,781,960,753,86,3544,-16412,1164,-1118,-22,-214
664,816,778,967,753,89,3492,-16300,1148,-1093,-17,-227
667,816,781,969,752,86,3548,-16412,1040,-1069,17,-204
670,817,783,961,756,91,3488,-16444,1216,-1083,3,-256
673,819,777,965,753,87,3500,-16408,1164,-1049,-14,-237
676,816,782,962,754,90,3568,-16388,1084,-1081,1,-221
679,816,782,965,752,89,3592,-16404,1176,-1051,9,-252
682,817,784,969,763,91,3536,-16380,1040,-1030,-38,-209
685,821,784,970,752,87,3424,-16384,1144,-1085,-5,-241
688,819,785,963,753,90,3648,-16364,1236,-1096,63,-233
691,821,786,965,753,86,3720,-16404,1052,-1086,0,-230
694,819,784,962,752,94,3640,-16412,1004,-1093,-112,-215
697,817,785,966,751,85,3588,-16400,1108,-1088,-83,-213
